"","V1"
"107867549584992","10.775833333333-10.803321980356-10.803321980356-10.7878103-10.7822027-10.773573760021-10.789192-10.779973522098"
"112036512495862","10.779934425415-10.779492333935-10.729411608643-10.730852785315-10.730744814924-10.803987196572-10.7907801-10.8171473-10.7818051727"
"118907701812571","10.730744814924-10.779934425415-10.813112038302-10.775833333333-10.8585741-10.803321980356-10.803321980356-10.7694"
"127899517575510","10.766129429041-10.78392654-10.78722-10.7829504-10.790258594234-10.777698260699-10.729411608643-10.730744814924-10.8171473-10.775833333333-10.8585741-10.726910700135-10.803321980356-10.779492333935-10.741962426559-10.7694-10.7850428-10.766129429041-10.79258767-10.7771196-10.778616976189-10.8050785-10.75-10.7730503"
"128541460842924","10.730744814924-10.803987196572-10.8585741-10.779492333935-10.797913712459-10.7768402-10.794629850425-10.808119400078"
"132782073751593","10.8171473-10.7771196-10.8171473-10.8171473-10.8171473-10.766129429041-10.8171473-10.8171473-10.8171473-10.816938324444-10.8171473"
"133858413643559","10.7829504-10.7694-10.766129429041-10.779492333935-10.729411608643-10.729509080508-10.779934425415-10.813112038302-10.8171473-10.775833333333-10.803321980356-10.766129429041"
"135085436853805","10.7843752-10.7829504-10.784932328478-10.730852785315-10.780833333333"
"136742366687500","10.779492333935-10.729509080508-10.730852785315-10.730744814924-10.780833333333-10.8171473-10.803321980356"
"139493729744950","10.726910700135-10.779492333935-10.741962426559-10.79258767-10.765942902456-10.8068469617-10.816938324444-10.7546482-10.729451347451-10.801274156643-10.726910700135-10.808119400078"
"140561939637308","10.7771196-10.7843752-10.780775419592-10.730744814924-10.803321980356-10.803321980356-10.7850428-10.766129429041"
"140645352966158","10.730744814924-10.779934425415-10.813112038302-10.775833333333-10.7769519588-10.8585741-10.803321980356-10.779492333935-10.803321980356-10.7694-10.766129429041-10.79258767-10.8171473-10.772393308507-10.8171473-10.755595133788-10.8068469617-10.7677002-10.7841666667-10.77207330075"
"141680539527313","10.730744814924-10.8171473-10.726910700135-10.7694-10.75-10.816874263333"
"142515806113859","10.779934425415-10.803321980356-10.816874263333-10.77207330075"
"142881026070824","10.7694-10.730852785315-10.780833333333-10.813112038302-10.8171473-10.803321980356-10.7694"
"143762049315634","10.766129429041-10.777698260699-21.01124483185-10.766129429041-10.78392654-10.762200730909-10.728783919759-10.780833333333-10.813112038302-10.8171473-10.766129429041-10.766129429041-10.767313098301-10.767313098301-10.773447283294-10.76612200006-10.738611111111-10.767313098301-10.816938324444-10.794493595506-10.729451347451-10.77207330075-10.767313098301-10.7704268-10.727359179346-10.726910700135-10.791412983219"
"144691249221157","10.780833333333-10.813112038302-10.8585741-10.779492333935-10.803321980356-10.7878103-10.8068469617-10.726910700135"
"148379555518355","10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699"
"152514838439215","10.730852785315-10.779934425415-10.813112038302-10.8171473-10.803321980356-10.7694-10.766129429041-10.7730503-10.773447283294-10.816874263333-10.779148221547-10.7677002-10.816938324444"
"154711438221800","10.7694-10.7899704-10.779492333935-10.729411608643-10.730852785315-10.730744814924-10.779934425415-10.780833333333-10.8171473-10.726910700135-10.803321980356-10.803321980356-10.7694"
"166359100384831","10.804019-10.787764669388-10.8585741-10.803321980356-10.779492333935-10.741962426559-10.7694-10.8068469617"
"167105196975226","10.766129429041-21.01124483185-10.777537591563-10.7694-10.730744814924-10.780833333333-10.8171473-10.803321980356-10.803321980356-10.803321980356"
"170919729923576","10.78267-10.833641635469-10.729411608643-10.730744814924-10.7154715-10.8585741-10.741962426559-10.79258767-10.787859-10.8066225-10.7843752-10.726910700135-10.808119400078"
"171160366569555","10.771507966836-10.714840625129-10.7771196-10.7844439-10.78392654-10.78722-10.75-10.7829504-10.777537591563-10.790258594234-10.777698260699-10.779492333935-10.762200730909-10.780867161366-10.780775419592-10.729411608643-10.729509080508-10.806337345686-10.730744814924-10.803987196572-10.85157868-10.7907801-10.813112038302-10.8171473-10.7818051727-10.8585741-10.803321980356-10.803321980356-10.803321980356-10.7694-10.790258594234-10.8050785-10.7730503"
"171534213198113","10.76096798517-10.7694-10.844890332328-10.779492333935-10.787764669388-10.7940111-10.730852785315-10.730744814924-10.780833333333-10.8171473-10.775833333333-10.8585741-10.726910700135-10.803321980356-10.779492333935-10.741962426559-10.803321980356-10.7694-10.79258767-10.787859-10.7841666667-10.792438-10.816938324444-10.74682256752-10.729649866797-10.760524296444-10.727359179346-10.726910700135-10.808119400078"
"171950143153804","10.779492333935-10.730852785315-10.730744814924-10.8171473-10.8585741-10.726910700135-10.803321980356-10.779492333935-10.803321980356-10.797913712459-10.773447283294-10.773573760021-10.808119400078"
"172315433118941","10.804019-10.730744814924-10.773447283294-10.755595133788-10.801555428539"
"173533356327149","10.779934425415-10.7899704-10.790258594234-10.779492333935-10.729509080508-10.730852785315-10.730744814924-10.780833333333-10.8171473-10.803321980356"
"175831896097425","10.767313098301-10.813112038302-10.767313098301-10.767313098301-10.767313098301-10.767313098301"
"178510749163505","10.7694-10.7899704-10.780833333333-10.775833333333-10.8585741-10.816874263333-10.8068469617-10.729451347451"
"181197955557698","10.729411608643-10.730744814924-10.741962426559-10.803321980356-10.79258767-10.79258767-10.797913712459-10.787859-10.8488503-10.75-10.808119400078"
"183303732011968","10.803321980356-10.741962426559-10.79258767-10.797913712459-10.7694-10.787859"
"183740808638809","10.7694-10.784932328478-10.777698260699-10.779492333935-10.762200730909-10.803321980356-10.766129429041"
"184243938587150","10.779934425415-10.7807903-10.790258594234-10.8488503-10.7694-10.7777824-10.7899704-10.790258594234-10.779492333935-10.7940111-10.780524473274-10.780833333333-10.813112038302-10.8171473-10.803321980356-10.779492333935-10.803321980356-10.803321980356-10.766129429041-10.7929997-10.79258767-10.790258594234-10.765942902456-10.81589517-10.773573760021-10.801274156643"
"188622934811728","10.726910700135-10.741962426559-10.729762249729-10.738611111111-10.801555428539"
"188774291465079","10.7694-10.7777824-10.779492333935-10.787764669388-10.729411608643-10.730744814924-10.780833333333-10.779492333935-10.803321980356-10.7694-10.79258767"
"188932614781344","10.785859280932-10.8585741-10.779492333935-10.797913712459-10.660204542205-10.727359179346"
"189917894683001","10.779934425415-10.78267-21.01124483185-10.7694-10.766129429041-10.781373055482-10.762200730909-10.730852785315-10.780833333333-10.8585741-10.803321980356-10.779492333935-10.759583317746-10.7730503-10.773447283294-10.8068469617-10.729451347451-10.779973522098"
"190802747923257","10.766129429041-10.7899704-10.729411608643-10.730744814924-10.780833333333-10.813112038302-10.803321980356-10.803321980356-10.759583317746"
"191477854524248","10.7694-10.7899704-10.730744814924-10.780833333333-10.8585741-10.779492333935-10.741962426559-10.79258767"
"191768501165993","10.8585741-10.741962426559-10.803321980356-10.79258767-10.755595133788-10.7841666667-10.753842394284"
"191860567816048","10.7807903-10.797690545493-10.777537591563-10.766129429041-10.7899704-10.779492333935-10.7694-10.794553763104-10.7903776-10.775833333333-10.730744814924-10.8585741-10.779492333935-10.803321980356-10.7694-10.79258767-10.801144417231-10.778616976189-10.7837296-10.912801269844-10.78322577-10.755595133788-10.796220788824"
"192136344460462","10.764627840446-10.795590790197-10.8585741-10.726910700135-10.772056035797-10.803321980356-10.803321980356-10.8013144-10.7916555-10.912801269844-10.784618187806-10.860573905-10.753842394284"
"192474881087926","10.726910700135-10.79258767-10.79258767-10.781373055482-10.7807903-10.801555428539"
"192639284405898","10.7777824-10.779492333935-10.729411608643-10.780833333333-10.726910700135-10.779492333935-10.7750301-10.726910700135"
"193016494372691","10.779934425415-10.766129429041-10.7777824-10.7899704-10.777698260699-10.728783919759-10.780833333333-10.8171473-10.773278596056-10.8171473"
"193719064300608","10.777698260699-10.766129429041-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699-10.777698260699"
"195686584102673","10.764627840446-10.766129429041-10.75-10.8585741-10.79258767-10.754866934655-10.755595133788-10.801555428539-10.726910700135"
"208501676148665","10.780833333333-10.799289589969-10.741962426559-10.79258767-10.7980404"
"218413778490224","10.780775419592-10.730744814924-10.8171473-10.803321980356-10.803321980356-10.7694-10.726910700135"
"392648814275684","10.780833333333-10.8585741-10.779492333935-10.797913712459-10.787859-10.7694-10.8068469617-10.801555428539-10.726910700135"
"407083886168985","10.7694-10.730852785315-10.730744814924-10.8585741-10.787859-10.773447283294-10.77207330075"
"407511526113695","10.7694-10.7694-10.7694-10.772056035797-10.772056035797-10.772056035797-10.772056035797-10.772056035797-10.772056035797"
"411111455752491","10.7899704-10.741962426559-10.803321980356-10.79258767-10.79258767-10.75"
"412039719004284","10.7777824-10.779492333935-10.7694-10.787764669388-10.767003764258-10.730744814924-10.780833333333-10.8585741"
"414349972092722","10.777698260699-10.8171473-10.729411608643-10.766129429041-10.766129429041"
"414599392078162","10.780833333333-10.8585741-10.741962426559-10.797913712459-10.787859-10.8066225-10.773447283294-10.8068469617"
"417376031789328","10.7899704-10.730744814924-10.726910700135-10.803321980356-10.803321980356-10.779492333935-10.79258767-10.787859-10.773447283294-10.738611111111-10.8068469617-10.7841666667-10.801555428539-10.808119400078"
"421832248016283","10.795590790197-10.7694-10.741962426559-10.795663625-10.753842394284-10.727599639211-10.72790167305-10.726910700135"
"426160660911320","10.766129429041-10.773370292485-10.790258594234-10.730852785315-10.730744814924-10.779934425415-10.813112038302-10.8171473-10.803321980356-10.803321980356-10.803321980356-10.803321980356-10.766129429041-10.79258767-10.79258767-10.816874263333-10.8171473"
"427463854124684","10.767003764258-10.730744814924-10.8171473-10.726910700135-10.779492333935-10.741962426559-10.7768402-10.773447283294-10.8068469617-10.795663625-10.727599639211-10.779973522098-10.727359179346-10.726910700135"
"431568943719678","10.780833333333-10.7694-10.79258767-10.79258767-10.797913712459-10.8068469617-10.804150856204-10.780855698549-10.779288450166-10.801555428539-10.808119400078"
"432862853587844","10.7769519588-10.8068469617-10.7807903-10.7807903-10.7807903-10.726910700135"
"433606973494655","10.775833333333-10.726910700135-10.779492333935-10.766129429041-10.723758905799-21.024166666667-10.755595133788"
"434633080062354","10.7807903-10.8129225-10.730744814924-10.779492333935-10.741962426559-10.7694-10.79258767-10.7768402-10.801555428539"
"434654790068060","10.730744814924-10.741962426559-10.79258767-10.795663625"
"434733423404517","10.7899704-10.75-10.7694-10.775833333333-10.7769519588-10.779492333935-10.803321980356-10.7694-10.79258767-10.8171473-10.773447283294"
"437117823155914","10.7899704-10.780833333333-10.8171473-10.803321980356-10.7929997-10.79258767"
"438497626347417","10.779492333935-10.787764669388-10.8585741-10.79258767-10.787859"
"442822525920982","10.78392654-10.767313098301-10.767313098301-10.767313098301-10.772821261302-10.767313098301"
"447314352120923","10.766129429041-10.777698260699-10.728783919759-10.780833333333-10.813112038302-10.8171473-10.7841091-10.766129429041-10.7929997-10.79258767-10.79258767"
"449296218608148","10.730744814924-10.8585741-10.80288639-10.7776642-10.781608166192-10.7750301-10.77207330075"
"449445798585494","10.766129429041-10.780833333333-10.8585741-10.779492333935-10.741962426559-10.7929997-10.8068469617-10.74682256752-10.794493595506-10.7835903-10.727359179346-10.726910700135"
"450037791864047","10.779492333935-10.8585741-10.7694-10.79258767-10.797913712459-10.8068469617"
"450738748448749","10.779934425415-10.728783919759-10.775833333333-10.7769519588-10.726910700135-10.7694-10.803321980356-10.803321980356-10.803321980356-10.766129429041-10.8554313-10.7694-10.766129429041-10.79258767-10.79258767-10.8171473-10.772393308507-10.766129429041-10.790258594234-10.8171473-10.816874263333-10.755595133788-10.7694-10.8171473-10.731776556254-10.78322577-10.784618187806-10.8068469617-10.794629850425-10.7677002-10.777698260699-10.792438-10.816938324444-10.766129429041-10.74682256752-10.777347060613-10.7843752-10.77207330075-10.777603336811-10.760524296444-10.804790805609-10.727359179346"
"452102751642373","10.819966714184-10.8309774-10.762250582494-10.786747676749-10.729411608643-10.813112038302-10.808919285811-10.778616976189-10.775483896073-10.784932328478-21.024166666667-10.660204542205-10.7701492-10.790572142-10.787859-10.757445188796-10.753842394284"
"454659104742450","10.7899704-10.780833333333-10.8171473-10.8585741-10.726910700135-10.779492333935-10.803321980356-10.7694-10.7768402-10.8068469617-10.72790167305-10.727359179346-10.726910700135-10.808119400078"
"457613797776937","10.780833333333-10.8171473-10.779492333935-10.79258767-10.74682256752-10.789192"
"466007660245159","10.75-10.8585741-10.741962426559-10.79258767-10.797913712459-10.793835984512-10.77207330075-10.72910564-10.726910700135"
"466188870251315","10.77014849532-10.78722-10.787594544051-10.780775419592-10.7940111-10.803321980356-10.8554313-10.7694-10.79258767-10.7841666667-10.794553763104"
"467894660064257","21.01124483185-10.7899704-10.767003764258-10.730744814924-10.728783919759-10.780833333333-10.8171473-10.7769519588-10.773447283294-10.72790167305-10.726910700135-10.791412983219"
"469001606618204","10.76096798517-10.766129429041-10.806138-10.7940111-10.730744814924-10.780833333333-10.8171473-10.8585741-10.803321980356-10.779492333935-10.79258767-10.797913712459-10.8068469617-10.726910700135"
"470525663152772","10.7899704-10.780833333333-10.779492333935-10.7694-10.773447283294-21.06324963-10.7829504-10.760524296444"
"473057772881230","10.766129429041-10.763370132014-10.780775419592-10.780833333333-10.767313098301-10.813112038302-10.8171473-10.7844439-10.799289589969-10.8585741-10.7902498-10.803321980356-10.7694-10.759583317746-10.79258767-10.8171473-10.8171473"
"478602778968260","10.776888888889-10.780833333333-10.8585741-10.726910700135-10.779492333935-10.741962426559-10.7694-10.79258767-10.79258767"
"484056645108661","10.7829504-10.777537591563-10.806138-10.729411608643-10.730744814924-10.8585741-10.726910700135-10.803321980356-10.797913712459-10.755595133788-10.7829504-21.06324963"
"484346231726681","10.764627840446-10.779492333935-10.8585741-10.741962426559-10.794629850425-10.7841666667-10.801555428539"
"489106891271298","10.779492333935-10.797913712459-10.8068469617-10.794629850425-10.7701101-10.808119400078"
"490917987736402","10.764627840446-10.8488503-10.7777824-10.7899704-10.7694-10.787764669388-10.780833333333-10.779492333935-10.79258767-10.7694-10.776127118745-10.860573905"
"491323391040278","10.765942902456-10.7899704-10.7694-10.8585741-10.779492333935-10.797913712459-10.7768402"
"492840054230193","10.726910700135-10.779492333935-10.741962426559-10.7694-10.79258767-10.889174720429-10.755595133788-10.7750301-10.8068469617-10.7841666667-10.801555428539-10.726910700135"
"493132844181060","10.8585741-10.726910700135-10.803321980356-10.803321980356-10.79258767-10.777747462188"
"493639604146555","10.779492333935-10.787764669388-10.726910700135-10.79258767-10.797913712459-10.8068469617"
"495668803924783","10.787594544051-10.7694-10.7694-10.787764669388-10.730852785315-10.726910700135-10.7694"
"495946033916246","10.767313098301-10.767313098301-10.767313098301-10.767313098301-10.767313098301-10.767313098301-10.767313098301-10.767313098301-10.767313098301"
"496733093842097","10.726910700135-10.741962426559-10.79258767-10.79258767-10.797913712459-10.8068469617-10.77207330075-10.727599639211"
"496744447165828","10.779492333935-10.730852785315-10.730744814924-10.8585741-10.726910700135-10.741962426559-10.79258767-10.79258767-10.797913712459-10.787859-10.773447283294-10.8068469617"
"497255913789754","10.730744814924-10.780833333333-10.726910700135-10.779492333935-10.79258767-10.797913712459"
"497776730383774","10.780833333333-10.8585741-10.79258767-10.797913712459-10.787859"
"499389476898835","10.730744814924-10.726910700135-10.803321980356-10.779492333935-10.741962426559-10.803321980356-10.79258767-10.79258767-10.7750301-10.7841666667-10.7694-10.789192-10.801555428539-10.808119400078"
"500427516800893","10.766129429041-10.779934425415-10.780833333333-10.726910700135-10.7694-10.79258767-10.79258767"
"500861113420487","10.8585741-10.779492333935-10.79258767-10.79258767-10.7694-10.874420983149-10.8068469617-10.72790167305-10.808119400078"
"501292240049036","10.7807903-10.7899704-10.780833333333-10.8585741-10.726910700135-10.741962426559-10.79258767"
"502050883292358","10.766129429041-10.730744814924-10.8585741-10.741962426559-10.79258767-10.787859-10.773447283294-10.8068469617"
"503202219861778","10.813112038302-10.8171473-10.8585741-10.779492333935-10.8171473-10.784618187806-10.737977-10.804150856204-10.808119400078"
"504382579740186","10.764627840446-10.791722808333-10.7899704-10.787764669388-10.730744814924-10.8585741-10.741962426559-10.7856302-10.80288639-10.773447283294-10.7694"
"507563852747117","10.780833333333-10.803321980356-10.7694-10.79258767"
"508149802696009","10.771507966836-10.7829504-10.730744814924-10.780775419592-10.741962426559-10.7769528807-10.7769528807-10.7818051727-10.7829504-10.7841666667"
"508592469316630","10.76096798517-10.779492333935-10.730852785315-10.730744814924-10.79258767-10.797913712459-10.8068469617"
"509287069249674","10.75-10.8585741-10.779492333935-10.741962426559-10.773447283294-10.801555428539"
"510174425812339","10.8488503-10.7829504-10.729411608643-10.779492333935-10.741962426559-10.797913712459-10.755595133788-10.8050546-10.801555428539"
"510392759134995","10.8171473-10.79258767-10.773447283294-10.76612200006-10.8068469617-10.77207330075-10.7835903-10.801555428539"
"513180892180206","10.7694-10.763370132014-10.7899704-10.729411608643-10.730744814924-10.799289589969-10.7694-10.7694-10.79258767"
"513601645466348","10.776888888889-10.730744814924-10.8585741-10.803321980356-10.779492333935-10.79258767-10.79258767"
"513677825474517","10.8488503-10.797690545493-10.7940111-10.730852785315-10.77877128763-10.775833333333-10.730744814924-10.768005814299-10.8585741"
"513903832121776","10.780833333333-10.8171473-10.8585741-10.79258767-10.79258767-10.797913712459-10.7768402-10.784932328478-10.793835984512-10.787859-10.726910700135"
"515246135302389","10.803321980356-10.787859-10.8068469617-10.801555428539-10.808119400078"
"516495948528594","10.7807903-10.75-10.780833333333-10.8585741-10.779492333935-10.874420983149-10.7856503-10.802967616955-10.777603336811"
"518267068336260","10.764627840446-10.785859280932-10.779492333935-10.730852785315-10.730744814924-10.726910700135-10.803321980356-10.779492333935-10.803321980356"
"519899301512791","10.779788-10.7777824-10.828863253333-10.7694-10.730852785315-10.780833333333-10.79258767-10.787859-10.7856503-10.8066225-10.78322577-10.787540368818-10.799057735756"
"520184324811726","10.779492333935-10.741962426559-10.8068469617-10.816938324444-10.7546482-10.726910700135-10.808119400078"
"523149284516658","10.766129429041-10.7694-10.779934425415-10.801144417231-10.773447283294-10.794629850425-10.77207330075"
"523483477808212","10.7807903-10.785859280932-10.7694-10.795590790197-10.779492333935-12.91991765-10.79258767-10.787859-10.80288639-10.8066225-10.773447283294-10.781608166192-10.7841666667-10.791655570391-10.7807903"
"527354960763420","10.76096798517-10.766129429041-10.7694-10.7694-10.730852785315-10.730744814924-10.8171473-10.8585741-10.779492333935"
"527814970726131","10.7899704-10.78392654-10.75-10.779492333935-10.7694-10.806138-10.787764669388-10.7829504-10.729411608643-10.729509080508-10.767003764258-10.730744814924-10.8171473-10.775833333333-10.8585741-10.726910700135-10.803321980356-10.779492333935-10.79258767-10.801144417231-10.79423034573-10.723758905799-10.765942902456-10.766129429041-10.755595133788"
"529452507222509","10.730744814924-10.741962426559-10.755595133788-10.738611111111-10.801555428539-10.726910700135-10.808119400078"
"533004343519772","10.780833333333-10.8171473-10.7769519588-10.8585741-10.79258767-10.7726402-10.8068469617-10.7713156-10.339491843346-10.808119400078"
"534795423351077","10.7771196-10.785859280932-10.729411608643-10.8171473-10.726910700135-10.660204542205"
"535137073315462","10.726910700135-10.779492333935-10.741962426559-10.79258767-10.7750301-10.816938324444-10.77207330075-10.726910700135"
"535834386574516","10.7694-10.8585741-10.803321980356-10.797913712459-10.7837296-10.787859-10.773447283294-10.801555428539"
"536429096515668","10.726910700135-10.797913712459-10.773447283294-10.8068469617-10.75-10.801555428539"
"539229266235695","10.780833333333-10.7154715-10.726910700135-10.79258767-10.797913712459-10.787859-10.808119400078"
"539326799554165","10.77014849532-10.771507966836-10.7829504-10.7829504-10.777537591563-10.763370132014-10.78722-10.7829504-10.7699318-10.779934425415-10.780833333333-10.8171473-10.779492333935-10.803321980356-10.787859-10.755595133788-10.7829504-10.7677002-10.7829504-10.726910700135"
"540261832809791","10.7694-10.7899704-10.779492333935-10.7694-10.7694-10.779492333935-10.741962426559-10.79258767-10.773447283294"
"540866352746073","10.779492333935-10.730744814924-10.8585741-10.741962426559-10.726910700135"
"541041122729517","10.75-10.726910700135-10.741962426559-10.803321980356-10.79258767-10.797913712459-10.787859-10.889174720429-10.787540368818-10.8068469617"
"542351085930522","10.77014849532-21.01124483185-10.7899704-10.779492333935-10.784353675246-10.730744814924-10.7154715-10.759583317746-10.79258767-10.801144417231-10.791412983219"
"542864939199605","10.77014849532-10.7694-10.7694-10.762200730909-10.787764669388-10.730852785315-10.730744814924-10.779934425415-10.780833333333-10.799289589969-10.8585741-10.726910700135-10.779492333935-10.741962426559-10.7694-10.7837296-10.787859-10.773447283294-10.781608166192-10.795663625-10.786334-10.726910700135"
"546639112159022","10.77014849532-10.776888888889-10.730744814924-10.8585741-10.726910700135-10.779492333935-10.741962426559-10.7709636"
"547643035385173","10.775833333333-10.803321980356-10.803321980356-10.7694-10.7841666667-21.06324963"
"548892231931724","10.785859280932-10.727773538831-10.759035015164-10.766129429041-10.779492333935-10.762200730909-10.729411608643-10.767003764258-10.730744814924-10.780833333333-10.8171473-10.7769519588-10.741962426559-10.766129429041-10.79258767-10.797913712459-10.8777-10.8068469617-10.726910700135"
"549431708543476","10.787764669388-10.8171473-10.8585741-10.7837296-10.773447283294-10.8068469617"
"551059868404585","10.775833333333-10.726910700135-10.741962426559-10.79258767-10.79258767-10.787859-10.8068469617-10.779288450166"
"551934978296072","10.726910700135-10.79258767-10.797913712459-10.7768402-10.787859-10.794629850425-10.7841666667-10.792438-10.726910700135"
"552519028236898","10.764627840446-10.76096798517-10.730744814924-10.8585741-10.779492333935-10.741962426559-10.7694-10.79258767-10.808119400078"
"553710531444429","10.777698260699-10.729411608643-10.780833333333-10.75950582733-10.8171473-10.8171473"
"556386637852586","10.777698260699-10.779934425415-10.780833333333-10.8171473-10.726910700135-10.797913712459-10.812470749412-10.779973522098"
"556693517816892","10.844890332328-10.776888888889-10.7899704-10.775833333333-10.780833333333-10.803321980356-10.741962426559-10.803321980356-10.7694-10.79258767-10.79258767-10.797913712459-10.787859"
"559615954200736","10.77014849532-10.764627840446-21.01124483185-10.730852785315-10.730744814924-10.780833333333-10.741962426559"
"562231203927883","21.01124483185-10.7548972622-10.8585741-10.741962426559-10.797913712459-10.8066225-10.773447283294-10.779973522098-10.8068469617-10.816938324444-10.801555428539"
"563887893777068","10.729509080508-10.730744814924-10.728783919759-10.780833333333-10.803321980356-10.797913712459-10.8171473-10.738611111111-10.714489331958"
"564378157044832","10.730744814924-10.780833333333-10.8585741-10.779492333935-10.741962426559-10.803321980356-10.79258767-10.808119400078"
"565708260247237","10.766129429041-10.7694-10.730852785315-10.730744814924-10.8171473-10.8585741-10.7929997-10.723758905799-21.024166666667"
"567767733372047","10.780833333333-10.7769519588-10.803321980356-10.79258767-10.794493595506"
"572161542937082","10.779934425415-10.766129429041-10.7843752-10.768915165541-10.7711897-10.729411608643-10.730744814924-10.8171473-10.779492333935-10.772277371056-10.8171473-10.8171473-10.816874263333-10.8171473-10.777698260699-10.8171473"
"580247795461456","10.7807903-10.764627840446-10.75-10.726910700135-10.79258767-10.797913712459"
"585266574953652","10.726910700135-10.797913712459-10.773447283294-10.7623720542-10.801555428539-10.726910700135-10.808119400078"
"587710671382257","10.766129429041-10.7899704-10.790258594234-10.780775419592-10.730852785315-10.767313098301-10.813112038302-10.803321980356-10.741962426559-10.803321980356-10.759583317746-10.8474672-10.8171473"
"588438194637783","10.7835903-10.766129429041-10.758093141193-10.8585741-10.741962426559-10.79258767-10.7768402-10.801144417231-10.773447283294-10.755595133788-10.7903776"
"594268804047130","10.836245967548-10.7829571025-10.8585741-10.77429999-10.7694"
"594932890644869","10.780833333333-10.741962426559-10.797913712459-10.779973522098-10.7677002-10.792438-10.773573760021-10.727359179346"
"595204997295165","10.766129429041-10.779788-10.767313098301-10.8171473-10.8171473-10.8171473-10.782853210143-10.767313098301-10.8171473"
"604517696354265","10.7694-10.730744814924-10.8171473-10.801144417231-10.773447283294-10.755595133788"
"617314225074105","10.779934425415-10.779934425415-10.780833333333-10.8585741-10.726910700135-10.741962426559-10.79258767-10.797913712459-10.773278596056-10.773741394188"
"625758314229025","10.7899704-10.730744814924-10.8554313-10.7694-10.79258767-10.8488503"
"626469317493279","10.77014849532-10.7807903-10.785720748033-10.7907801-10.780775419592-10.779492333935-10.803321980356-10.7694-10.7878103-10.760978525335-10.773278596056-10.755595133788-10.7750301-10.860573905-21.06324963-10.796220788824-10.804634796667"
"630907087049569","10.771507966836-10.806337345686-10.7829504-10.762200730909-10.729411608643-10.7699318-10.7677002"
